iter	R2	RMSE
315	0.9295403791	0.9114713204
316	0.9295750715	0.911246901
317	0.9296161598	0.9109810361
318	0.9296532069	0.9107412533
319	0.9296930554	0.9104832685
320	0.9297331094	0.9102238795
321	0.9297678099	0.9099990997
322	0.9298279206	0.9096095891
323	0.9298778754	0.9092857607
324	0.9299369063	0.9089029482
325	0.9299737364	0.9086640246
326	0.9300444192	0.9082053173
327	0.9300942293	0.9078819275
328	0.9301422962	0.9075697464
329	0.930195062	0.9072269226
330	0.9302342663	0.9069721255
331	0.9302786377	0.9066836604
332	0.9303150909	0.9064466035
333	0.9303660183	0.9061153162
334	0.9304040164	0.905868057
335	0.9304542127	0.9055413176
336	0.9305170725	0.9051319828
337	0.9305482199	0.9049290864
338	0.9305887934	0.90466472
339	0.9306170537	0.9044805368
340	0.9306703312	0.9041332061
341	0.9307110411	0.9038677162
342	0.9307678344	0.9034972092
343	0.9308082587	0.9032333971
344	0.9308550854	0.9029277061
345	0.9308956012	0.9026631298
346	0.9309333409	0.9024166123
347	0.9309731483	0.902156515
348	0.93103228	0.9017700173
349	0.9310736123	0.9014997616
350	0.9311037204	0.9013028459
351	0.9311531178	0.900979679
352	0.9311929026	0.9007193152
353	0.9312293779	0.9004805436
354	0.9312645281	0.9002503863
355	0.931298957	0.9000248945
356	0.9313508555	0.8996848798
357	0.9313814204	0.8994845729
358	0.9314235931	0.8992081202
359	0.9314505444	0.8990314038
360	0.9315038108	0.8986820392
361	0.9315493501	0.8983832475
362	0.9315917026	0.898105276
363	0.9316424409	0.8977721527
364	0.9316807765	0.8975203776
365	0.9317279914	0.8972101897
366	0.9317571423	0.8970186231
367	0.9317882869	0.8968139092
368	0.9318198786	0.8966062092
369	0.931853302	0.8963864143
370	0.9318832121	0.8961896772
371	0.9319117308	0.8960020522
372	0.9319637838	0.895659493
373	0.9320181446	0.8953016064
374	0.9320514157	0.8950824942
375	0.9320835532	0.8948707964
376	0.9321341323	0.8945375178
377	0.9321804798	0.8942320134
378	0.9322097496	0.8940390247
379	0.9322443899	0.893810572
380	0.9322920851	0.8934959268
381	0.9323370871	0.8931989463
382	0.9323696826	0.8929837783
383	0.9323946279	0.8928190759
384	0.9324333069	0.8925636352
385	0.9324620333	0.8923738755
386	0.9325003938	0.8921204127
387	0.9325424537	0.8918424233
388	0.932571084	0.8916531456
389	0.93262026	0.8913279441
390	0.9326467692	0.8911525893
391	0.932689189	0.8908719164
392	0.9327368642	0.8905563649
393	0.932782522	0.8902540616
394	0.9328277384	0.8899545798
395	0.9328503281	0.8898049236
396	0.9328990276	0.8894822048
397	0.9329270962	0.8892961485
398	0.9329625826	0.8890608662
